Cardinal,#C41E3A,77%,12%,23%,350°,73%,44%,85%,77%
Caribbean green,#00CC99,0%,80%,60%,165°,100%,40%,100%,80%
Carmine,#960018,59%,0%,9%,350°,100%,29%,100%,59%
Carmine (M&P),#D70040,84%,0%,25%,342°,100%,42%,100%,84%
Carmine pink,#EB4C42,92%,30%,26%,4°,81%,59%,72%,92%
Carmine red,#FF0038,100%,0%,22%,347°,100%,50%,100%,100%
Carnation pink,#FFA6C9,100%,65%,79%,336°,100%,83%,35%,100%
Carnelian,#B31B1B,70%,11%,11%,0°,74%,40%,85%,70%
Carolina blue,#56A0D3,34%,63%,83%,204°,59%,58%,59%,83%
Carrot orange,#ED9121,93%,57%,13%,33°,85%,53%,86%,93%
Castleton green,#00563F,0%,34%,25%,164°,100%,17%,100%,34%
Catalina blue,#062A78,2%,16%,47%,221°,90%,25%,95%,47%
Catawba,#703642,44%,21%,26%,348°,35%,33%,52%,44%
Cedar Chest,#C95A49,79%,35%,29%,8°,54%,54%,64%,79%
Ceil,#92A1CF,57%,63%,81%,225°,39%,69%,29%,81%
Celadon,#ACE1AF,67%,88%,69%,123°,47%,78%,24%,88%
Celadon blue,#007BA7,0%,48%,65%,196°,100%,33%,100%,65%
Celadon green,#2F847C,18%,52%,49%,174°,47%,35%,64%,52%
Celeste,#B2FFFF,70%,100%,100%,180°,100%,85%,30%,100%
Celestial blue,#4997D0,29%,59%,82%,205°,59%,55%,65%,82%
Cerise,#DE3163,87%,19%,39%,343°,72%,53%,78%,87%
Cerise pink,#EC3B83,93%,23%,51%,336°,82%,58%,75%,93%
Cerulean,#007BA7,0%,48%,65%,196°,100%,33%,100%,65%
Cerulean blue,#2A52BE,16%,32%,75%,224°,64%,45%,78%,75%
Cerulean frost,#6D9BC3,43%,61%,76%,208°,42%,60%,44%,76%
CG Blue,#007AA5,0%,48%,65%,196°,100%,32%,100%,65%
CG Red,#E03C31,88%,24%,19%,4°,74%,54%,78%,88%
Chamoisee,#A0785A,63%,47%,35%,26°,28%,49%,44%,63%
Champagne,#F7E7CE,97%,91%,81%,37°,72%,89%,17%,97%
Champagne pink,#F1DDCF,95%,87%,81%,25°,55%,88%,14%,95%
Charcoal,#36454F,21%,27%,31%,204°,19%,26%,32%,31%
Charleston green,#232B2B,14%,17%,17%,180°,10%,15%,19%,17%
Charm pink,#E68FAC,90%,56%,67%,340°,64%,73%,38%,90%
Chartreuse (traditional),#DFFF00,87%,100%,0%,68°,100%,50%,100%,100%
Chartreuse (web),#7FFF00,50%,100%,0%,90°,100%,50%,100%,100%
Cherry,#DE3163,87%,19%,39%,343°,72%,53%,78%,87%
Cherry blossom pink,#FFB7C5,100%,72%,77%,348°,100%,86%,28%,100%
Chestnut,#954535,58%,27%,21%,10°,48%,40%,64%,58%
China pink,#DE6FA1,87%,44%,63%,333°,63%,65%,50%,87%
China rose,#A8516E,66%,32%,43%,340°,35%,49%,52%,66%
Chinese red,#AA381E,67%,22%,12%,11°,70%,39%,82%,67%
Chinese violet,#856088,52%,38%,53%,296°,17%,45%,29%,53%
Chlorophyll green,#4AFF00,29%,100%,0%,103°,100%,50%,100%,100%
Chocolate (traditional),#7B3F00,48%,25%,0%,31°,100%,24%,100%,48%
Chocolate (web),#D2691E,82%,41%,12%,25°,75%,47%,86%,82%
Chrome yellow,#FFA700,100%,65%,0%,39°,100%,50%,100%,100%
Cinereous,#98817B,60%,51%,48%,12°,12%,54%,19%,60%
Cinnabar,#E34234,89%,26%,20%,5°,76%,55%,77%,89%
Cinnamon[*citation needed*],#D2691E,82%,41%,12%,25°,75%,47%,86%,82%
Cinnamon Satin,#CD607E,80%,38%,49%,343°,52%,59%,53%,80%
Citrine,#E4D00A,89%,82%,4%,54°,92%,47%,96%,89%
Citron,#9FA91F,62%,66%,12%,64°,69%,39%,82%,66%
Claret,#7F1734,50%,9%,20%,343°,69%,29%,82%,50%
Classic rose,#FBCCE7,98%,80%,91%,326°,85%,89%,19%,98%
Cobalt Blue,#0047AB,0%,28%,67%,215°,100%,34%,100%,67%
Cocoa brown,#D2691E,82%,41%,12%,25°,75%,47%,86%,82%
Coconut,#965A3E,59%,35%,24%,19°,42%,42%,59%,59%
Coffee,#6F4E37,44%,31%,22%,25°,34%,33%,50%,44%
Columbia Blue,#C4D8E2,77%,85%,89%,200°,34%,83%,13%,89%
Congo pink,#F88379,97%,51%,47%,5°,90%,72%,51%,97%
Cool Black,#002E63,0%,18%,39%,212°,100%,19%,100%,38%
Cool grey,#8C92AC,55%,57%,67%,229°,16%,61%,19%,67%
Copper,#B87333,72%,45%,20%,29°,57%,46%,72%,72%
Copper (Crayola),#DA8A67,85%,54%,40%,18°,61%,63%,53%,85%
Copper penny,#AD6F69,68%,44%,41%,5°,29%,55%,39%,68%
Copper red,#CB6D51,80%,43%,32%,14°,54%,56%,60%,80%
Copper rose,#996666,60%,40%,40%,0°,20%,50%,33%,60%
Coquelicot,#FF3800,100%,22%,0%,13°,100%,50%,100%,100%
Coral,#FF7F50,100%,50%,31%,16°,100%,66%,69%,100%
Coral pink,#F88379,97%,51%,47%,5°,90%,72%,51%,97%
Coral red,#FF4040,100%,25%,25%,0°,100%,63%,75%,100%
Coral Reef,#FD7C6E,99%,49%,43%,6°,97%,71%,57%,99%
Cordovan,#893F45,54%,25%,27%,355°,37%,39%,54%,54%
Corn,#FBEC5D,98%,93%,36%,54°,95%,67%,63%,98%
Cornell Red,#B31B1B,70%,11%,11%,0°,74%,40%,85%,70%
Cornflower blue,#6495ED,39%,58%,93%,219°,79%,66%,58%,93%
Cornsilk,#FFF8DC,100%,97%,86%,48°,100%,93%,14%,100%
Cosmic Cobalt,#2E2D88,18%,18%,53%,241°,50%,36%,67%,53%
Cosmic latte,#FFF8E7,100%,97%,91%,43°,100%,95%,9%,100%
Coyote brown,#81613C,51%,38%,24%,62°,37%,37%,52%,51%
Cotton candy,#FFBCD9,100%,74%,85%,334°,100%,87%,26%,100%
Cream,#FFFDD0,100%,99%,82%,57°,100%,91%,18%,100%
Crimson,#DC143C,86%,8%,24%,348°,83%,47%,91%,86%
Crimson glory,#BE0032,75%,0%,20%,344°,100%,37%,100%,75%
Crimson red,#990000,60%,0%,0%,0°,100%,30%,100%,60%
Cultured,#F5F5F5,96%,96%,96%,0°,0%,96%,0%,96%
Cyan,#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%
Cyan azure,#4E82B4,31%,51%,71%,209°,41%,51%,57%,71%
Cyan-blue azure,#4682BF,27%,51%,75%,210°,49%,51%,63%,75%
Cyan cobalt blue,#28589C,16%,35%,61%,215°,59%,38%,74%,61%
Cyan cornflower blue,#188BC2,9%,55%,76%,199°,78%,43%,88%,76%
Cyan (process),#00B7EB,0%,72%,92%,193°,100%,46%,100%,92%
Cyber grape,#58427C,35%,26%,49%,263°,31%,37%,47%,49%
Cyber yellow,#FFD300,100%,83%,0%,50°,100%,50%,100%,100%
Cyclamen,#F56FA1,96%,44%,63%,0°,87%,70%,54%,96%
Daffodil,#FFFF31,100%,100%,19%,60°,100%,60%,81%,100%
Dandelion,#F0E130,94%,88%,19%,55°,86%,56%,80%,94%
Dark blue,#00008B,0%,0%,55%,240°,100%,27%,100%,55%
Dark blue-gray,#666699,40%,40%,60%,240°,20%,50%,33%,60%
Dark brown,#654321,40%,26%,13%,30°,51%,26%,67%,40%
Dark brown-tangelo,#88654E,53%,40%,31%,24°,27%,42%,43%,53%
Dark byzantium,#5D3954,36%,22%,33%,315°,24%,29%,39%,36%
Dark candy apple red,#A40000,64%,0%,0%,0°,100%,32%,100%,64%
Dark cerulean,#08457E,3%,27%,49%,209°,88%,26%,94%,49%
Dark chestnut,#986960,60%,41%,38%,10°,23%,49%,37%,60%
Dark coral,#CD5B45,80%,36%,27%,10°,58%,54%,66%,80%
Dark cyan,#008B8B,0%,55%,55%,180°,100%,27%,100%,55%
Dark electric blue,#536878,33%,41%,47%,206°,18%,40%,31%,47%
Dark goldenrod,#B8860B,72%,53%,4%,43°,89%,38%,94%,72%
Dark gray (X11),#A9A9A9,66%,66%,66%,—°,0%,66%,0%,66%
Dark green,#013220,0%,20%,13%,158°,96%,10%,98%,20%
Dark green (X11),#006400,0%,39%,0%,120°,100%,20%,100%,39%
Dark gunmetal,#1F262A,12%,15%,16%,202°,15%,14%,26%,16%
Dark imperial blue,#00416A,0%,25%,42%,203°,100%,21%,100%,42%
Dark imperial blue,#00147E,0%,8%,49%,183°,100%,25%,100%,40%
Dark jungle green,#1A2421,10%,14%,13%,162°,16%,12%,28%,14%
Dark khaki,#BDB76B,74%,72%,42%,56°,38%,58%,43%,74%
Dark lava,#483C32,28%,24%,20%,27°,18%,24%,31%,28%
Dark lavender,#734F96,45%,31%,59%,270°,31%,45%,47%,59%
Dark liver,#534B4F,33%,29%,31%,330°,5%,31%,10%,33%
Dark liver (horses),#543D37,33%,24%,22%,12°,21%,27%,35%,33%
Dark magenta,#8B008B,55%,0%,55%,300°,100%,27%,100%,55%
Dark medium gray,#A9A9A9,66%,66%,66%,—°,0%,66%,0%,66%
Dark midnight blue,#003366,0%,20%,40%,210°,100%,20%,100%,40%
Dark moss green,#4A5D23,29%,36%,14%,80°,45%,25%,62%,36%
Dark olive green,#556B2F,33%,42%,18%,82°,39%,30%,56%,42%
Dark orange,#FF8C00,100%,55%,0%,33°,100%,50%,100%,100%
Dark orchid,#9932CC,60%,20%,80%,280°,61%,50%,75%,80%
Dark pastel blue,#779ECB,47%,62%,80%,212°,45%,63%,41%,80%
Dark pastel green,#03C03C,1%,75%,24%,138°,97%,38%,98%,75%
Dark pastel purple,#966FD6,59%,44%,84%,263°,56%,64%,48%,84%
Dark pastel red,#C23B22,76%,23%,13%,9°,70%,45%,82%,76%
Dark pink,#E75480,91%,33%,50%,342°,75%,62%,64%,91%
Dark powder blue,#003399,0%,20%,60%,220°,100%,30%,100%,60%
Dark puce,#4F3A3C,31%,23%,24%,354°,15%,27%,27%,31%
Dark purple,#301934,19%,10%,20%,291°,35%,15%,51%,20%
Dark raspberry,#872657,53%,15%,34%,330°,56%,34%,72%,53%
Dark red,#8B0000,55%,0%,0%,0°,100%,27%,100%,55%
Dark salmon,#E9967A,91%,59%,48%,15°,72%,70%,48%,91%
Dark scarlet,#560319,34%,1%,10%,344°,93%,17%,97%,34%
Dark sea green,#8FBC8F,56%,74%,56%,120°,25%,65%,24%,74%
Dark sienna,#3C1414,24%,8%,8%,0°,50%,16%,67%,24%
Dark sky blue,#8CBED6,55%,75%,84%,199°,47%,69%,35%,84%
Dark slate blue,#483D8B,28%,24%,55%,248°,39%,39%,56%,55%
Dark slate gray,#2F4F4F,18%,31%,31%,180°,25%,25%,41%,31%
Dark spring green,#177245,9%,45%,27%,150°,66%,27%,80%,45%
Dark tan,#918151,57%,51%,32%,45°,28%,44%,44%,57%
Dark tangerine,#FFA812,100%,66%,7%,38°,100%,54%,93%,100%
Dark taupe,#483C32,28%,24%,20%,27°,18%,24%,31%,28%
Dark terra cotta,#CC4E5C,80%,31%,36%,353°,55%,55%,62%,80%
Dark turquoise,#00CED1,0%,81%,82%,181°,100%,41%,100%,82%
Dark vanilla,#D1BEA8,82%,75%,66%,32°,31%,74%,20%,82%
Dark violet,#9400D3,58%,0%,83%,282°,100%,41%,100%,83%
Dark yellow,#9B870C,61%,53%,5%,52°,86%,33%,92%,61%
Dartmouth green,#00703C,0%,44%,24%,152°,100%,22%,100%,44%
Davy's grey,#555555,33%,33%,33%,—°,0%,33%,0%,33%
Debian red,#D70A53,84%,4%,33%,339°,91%,44%,95%,84%
Deep aquamarine,#40826D,25%,51%,43%,161°,34%,38%,51%,51%
Deep carmine,#A9203E,66%,13%,24%,347°,68%,39%,81%,66%
Deep carmine pink,#EF3038,94%,19%,22%,357°,86%,56%,80%,94%
Deep carrot orange,#E9692C,91%,41%,17%,19°,81%,54%,81%,91%
Deep cerise,#DA3287,85%,20%,53%,330°,69%,53%,77%,85%
Deep champagne,#FAD6A5,98%,84%,65%,35°,90%,81%,34%,98%
Deep chestnut,#B94E48,73%,31%,28%,3°,45%,50%,61%,73%
Deep coffee,#704241,44%,26%,25%,1°,27%,35%,42%,44%
Deep fuchsia,#C154C1,76%,33%,76%,300°,47%,54%,56%,76%
Deep Green,#056608,2%,40%,3%,122°,91%,21%,95%,40%
Deep green-cyan turquoise,#0E7C61,5%,49%,38%,165°,80%,27%,89%,49%
Deep jungle green,#004B49,0%,29%,29%,178°,100%,15%,100%,29%
Deep koamaru,#333366,20%,20%,40%,240°,33%,30%,50%,40%
Deep lemon,#F5C71A,96%,78%,10%,47°,92%,53%,89%,96%
Deep lilac,#9955BB,60%,33%,73%,280°,43%,53%,55%,73%
Deep magenta,#CC00CC,80%,0%,80%,300°,100%,40%,100%,80%
Deep maroon,#820000,51%,0%,0%,0°,100%,26%,100%,51%
Deep mauve,#D473D4,83%,45%,83%,300°,53%,64%,46%,83%
Deep moss green,#355E3B,21%,37%,23%,129°,28%,29%,44%,37%
Deep peach,#FFCBA4,100%,80%,64%,26°,100%,82%,36%,100%
Deep pink,#FF1493,100%,8%,58%,328°,100%,54%,92%,100%
Deep puce,#A95C68,66%,36%,41%,351°,31%,51%,46%,66%
Deep Red,#850101,52%,0%,0%,0°,99%,26%,99%,52%
Deep ruby,#843F5B,52%,25%,36%,336°,35%,38%,52%,52%
Deep saffron,#FF9933,100%,60%,20%,30°,100%,60%,80%,100%
Deep sky blue,#00BFFF,0%,75%,100%,195°,100%,50%,100%,100%
Deep Space Sparkle,#4A646C,29%,39%,42%,194°,19%,36%,31%,42%
Deep spring bud,#556B2F,33%,42%,18%,82°,39%,30%,56%,42%
Deep Taupe,#7E5E60,49%,37%,38%,356°,15%,43%,25%,49%
Deep Tuscan red,#66424D,40%,26%,30%,342°,21%,33%,35%,40%
Deep violet,#330066,20%,0%,40%,270°,100%,20%,100%,40%
Deer,#BA8759,73%,53%,35%,28°,41%,54%,52%,73%
Denim,#1560BD,8%,38%,74%,213°,80%,41%,89%,74%
Denim Blue,#2243B6,13%,26%,71%,227°,69%,42%,81%,71%
Desaturated cyan,#669999,40%,60%,60%,180°,20%,50%,33%,60%
Desert,#C19A6B,76%,60%,42%,33°,41%,59%,45%,76%
Desert sand,#EDC9AF,93%,79%,69%,25°,63%,81%,26%,93%
